"id","age","height","weight","sex"
1,67,166,69,"male"
2,28,153,61,"female"
3,133,180,91,"male"
4,51,177,89,"male"
5,93,176,98,"male"
6,23,171,78,"male"
7,57,159,65,"female"
8,103,160,62,"female"
9,15,151,76,"female"
10,23,174,68,"male"
11,53,168,72,"male"
12,32,159,71,"female"
13,61,164,77,"male"
14,30,163,72,"male"
15,55,157,57,"female"
16,38,176,74,"male"
17,38,162,70,"female"
18,75,166,62,"female"
19,44,160,82,"female"
20,27,167,63,"female"
21,33,155,69,"female"
22,44,158,63,"female"
23,44,161,68,"female"
24,24,175,53,"male"
25,18,177,68,"male"
26,25,173,82,"male"
27,40,157,78,"female"
28,41,159,49,"female"
29,27,160,62,"female"
30,22,154,60,"female"
31,42,153,64,"female"
32,36,156,59,"female"
33,20,158,55,"female"
34,44,171,77,"male"
35,83,173,89,"male"
36,21,170,70,"female"
37,33,148,81,"female"
38,70,161,58,"female"
39,103,173,65,"male"
40,20,170,54,"female"
41,79,157,50,"female"
42,41,154,73,"female"
43,20,167,70,"male"
44,121,184,71,"male"
45,34,173,80,"male"
46,43,163,58,"female"
47,50,168,86,"male"
48,68,161,68,"male"
49,33,168,61,"female"
50,67,154,47,"female"
51,56,158,60,"female"
52,30,182,66,"male"
53,52,162,46,"male"
54,49,177,69,"male"
55,17,192,61,"male"
56,93,159,58,"female"
57,15,180,73,"male"
58,18,146,66,"female"
59,46,151,49,"female"
60,23,165,60,"male"
61,36,154,76,"male"
62,37,167,62,"male"
63,118,153,52,"female"
64,20,178,62,"male"
65,65,166,72,"male"
66,30,156,66,"female"
67,20,177,69,"male"
68,32,168,48,"female"
69,32,167,74,"male"
70,53,170,74,"male"
71,30,176,61,"male"
72,27,166,67,"male"
73,24,168,63,"female"
74,51,156,65,"female"
75,42,170,70,"male"
76,36,164,85,"male"
77,81,168,51,"female"
78,20,159,69,"male"
79,26,172,64,"male"
80,77,164,59,"female"
81,31,154,53,"female"
82,20,167,71,"male"
83,70,163,86,"male"
84,58,157,68,"female"
85,18,157,71,"female"
86,27,185,87,"male"
87,83,171,76,"male"
88,75,174,66,"male"
89,65,169,58,"female"
90,43,154,67,"female"
91,18,158,39,"female"
92,19,177,47,"male"
93,70,162,62,"female"
94,16,161,51,"female"
95,35,160,99,"male"
96,15,155,57,"female"
97,38,172,61,"male"
98,32,167,75,"female"
99,68,160,97,"male"
100,64,174,61,"male"
101,45,158,93,"male"
102,58,158,71,"female"
103,47,172,74,"male"
104,85,166,83,"male"
105,53,173,79,"male"
106,55,165,63,"female"
107,129,152,63,"female"
108,23,178,59,"male"
109,27,166,81,"male"
110,87,165,60,"female"
111,89,158,64,"female"
112,57,151,55,"female"
113,16,153,56,"female"
114,38,170,66,"male"
115,15,160,60,"female"
116,46,157,63,"female"
117,52,163,53,"female"
118,38,175,53,"male"
119,59,162,91,"male"
120,88,179,70,"male"
121,42,173,76,"male"
122,28,160,73,"female"
123,34,162,61,"female"
124,83,171,73,"male"
125,38,146,51,"female"
126,29,158,53,"female"
127,59,155,59,"female"
128,27,177,95,"male"
129,30,171,88,"male"
130,39,147,73,"female"
131,35,168,77,"female"
132,63,161,64,"female"
133,21,158,56,"female"
134,58,157,54,"female"
135,45,175,78,"male"
136,39,155,68,"female"
137,129,170,81,"male"
138,51,175,70,"male"
139,75,154,72,"female"
140,25,171,74,"male"
141,66,163,65,"female"
142,33,157,67,"female"
143,40,171,73,"male"
144,54,170,58,"male"
145,74,176,75,"male"
146,39,154,74,"female"
147,21,170,67,"male"
148,43,171,66,"female"
149,77,164,57,"female"
150,26,170,81,"male"
151,62,156,56,"female"
152,49,165,89,"male"
153,48,167,77,"female"
154,38,170,86,"male"
155,33,169,68,"male"
156,28,161,59,"female"
157,35,174,89,"male"
158,97,175,75,"male"
159,31,169,49,"female"
160,35,159,38,"female"
161,41,169,78,"male"
162,37,170,67,"male"
163,63,157,56,"male"
164,21,166,79,"male"
165,22,182,73,"male"
166,71,168,47,"female"
167,74,159,65,"male"
168,23,161,78,"male"
169,76,161,55,"female"
170,51,151,52,"female"
171,83,155,64,"female"
172,41,175,60,"male"
173,28,166,72,"male"
174,24,160,64,"female"
175,69,171,77,"male"
176,32,172,56,"female"
177,66,170,74,"male"
178,49,149,81,"female"
179,75,164,54,"male"
180,37,158,60,"female"
181,37,176,78,"male"
182,24,164,68,"male"
183,26,168,72,"male"
184,18,188,71,"male"
185,94,164,59,"female"
186,84,170,53,"male"
187,72,165,72,"female"
188,24,161,58,"female"
189,17,161,64,"female"
190,52,156,61,"female"
191,47,169,68,"female"
192,38,155,54,"female"
193,66,163,58,"female"
194,90,167,44,"male"
195,55,167,88,"male"
196,29,161,54,"male"
197,21,169,60,"male"
198,18,162,59,"female"
199,89,169,60,"male"
200,36,178,85,"male"
201,61,167,77,"female"
202,30,159,66,"female"
203,77,154,84,"female"
204,30,169,71,"male"
205,58,170,59,"female"
206,47,156,78,"female"
207,53,162,71,"female"
208,40,160,88,"female"
209,95,163,58,"male"
210,41,164,67,"male"
211,17,171,79,"male"
212,34,165,69,"male"
213,43,177,84,"male"
214,91,161,73,"female"
215,37,167,74,"female"
216,29,168,74,"male"
217,65,154,56,"female"
218,84,170,55,"female"
219,28,159,91,"male"
220,26,157,50,"female"
221,21,163,92,"male"
222,36,158,48,"female"
223,75,174,57,"male"
224,33,157,73,"female"
225,36,155,66,"female"
226,68,153,67,"female"
227,16,155,52,"female"
228,61,160,61,"female"
229,63,157,52,"female"
230,66,180,75,"male"
231,54,166,75,"female"
232,16,169,76,"male"
233,37,172,56,"female"
234,102,166,18,"female"
235,43,174,59,"male"
236,49,179,76,"male"
237,42,172,79,"male"
238,23,169,87,"male"
239,39,164,74,"male"
240,31,174,71,"male"
241,75,184,54,"male"
242,97,177,75,"male"
243,94,154,63,"female"
244,34,151,62,"female"
245,37,160,72,"female"
246,19,165,61,"female"
247,28,160,73,"male"
248,27,177,63,"male"
249,41,165,53,"female"
250,52,155,66,"male"
251,47,189,75,"male"
252,83,152,75,"female"
253,52,174,83,"male"
254,30,168,88,"male"
255,100,174,68,"male"
256,16,155,55,"female"
257,61,163,54,"female"
258,15,178,65,"male"
259,40,151,70,"female"
260,76,162,60,"female"
261,16,154,71,"female"
262,75,162,82,"male"
263,46,162,58,"male"
264,15,158,75,"female"
265,37,147,71,"female"
266,20,180,66,"male"
267,30,158,77,"female"
268,39,158,66,"female"
269,25,156,43,"female"
270,78,158,68,"female"
271,22,174,65,"male"
272,56,170,84,"male"
273,21,167,54,"female"
